model	sample_size	rep	mut_count	mean_MAF	median_MAF	sd_MAF	Q1_MAF	Q3_MAF
Emp/BloomDFE	1000	4	29	0.14765517241379308	0.107	0.12258474499069408	0.049	0.197
Emp/BloomDFE	1000	5	24	0.138	0.069	0.13081018441935663	0.04	0.21574999999999997
Emp/BloomDFE	1000	6	22	0.11704545454545454	0.0635	0.11685663877578382	0.042	0.1335
Emp/BloomDFE	1000	7	40	0.071025	0.038	0.07850673252200763	0.03075	0.08399999999999999
Emp/BloomDFE	1000	8	19	0.09157894736842105	0.056	0.08633932784174166	0.044	0.10500000000000001
Emp/BloomDFE	1000	9	24	0.08908333333333333	0.07150000000000001	0.07340650170627683	0.03675	0.11275
Emp/BloomDFE	1000	10	33	0.0777878787878788	0.042	0.08797895969199028	0.032	0.079
Emp/BloomDFE	1000	11	27	0.09111111111111111	0.048	0.12129567603851762	0.029	0.0655
Emp/BloomDFE	1000	12	36	0.09269444444444444	0.0525	0.09749514843444249	0.0335	0.09824999999999998
Emp/BloomDFE	1000	13	24	0.09104166666666666	0.0475	0.11442539972160584	0.032	0.07774999999999999
Emp/BloomDFE	1000	14	31	0.13329032258064516	0.067	0.13489877527202562	0.039	0.16949999999999998
Emp/BloomDFE	1000	15	37	0.10005405405405406	0.07	0.08235321822826691	0.041	0.138
Emp/BloomDFE	1000	16	38	0.10286842105263158	0.08199999999999999	0.0897212412864428	0.04125	0.125
Emp/BloomDFE	1000	17	24	0.11545833333333333	0.07249999999999998	0.1078348089185155	0.04075000000000003	0.15875000000000003
Emp/BloomDFE	1000	18	24	0.12679166666666666	0.10949999999999999	0.09269631537476541	0.0495	0.18049999999999997
Emp/BloomDFE	1000	19	24	0.11316666666666667	0.0455	0.13857556929631248	0.03875	0.08975
Emp/BloomDFE	1000	20	22	0.116	0.0565	0.1269428067693329	0.03725	0.1255
Emp/BloomDFE	1000	21	25	0.11636	0.062	0.12153081913654658	0.042	0.123
Emp/BloomDFE	1000	22	28	0.05785714285714286	0.037	0.06582846073991283	0.02875	0.059
Emp/BloomDFE	1000	23	27	0.0682962962962963	0.048	0.053324705498710594	0.031	0.08049999999999999
Emp/BloomDFE	1000	24	26	0.10684615384615385	0.064	0.11950521070068612	0.035250000000000004	0.1
Emp/BloomDFE	1000	25	23	0.0958695652173913	0.048	0.09749373142917545	0.0315	0.0925
Emp/BloomDFE	1000	26	28	0.1395	0.088	0.13650030524996393	0.041	0.16925
Emp/BloomDFE	1000	27	31	0.11158064516129033	0.06	0.11394816780552709	0.0375	0.127
Emp/BloomDFE	1000	28	42	0.08102380952380953	0.052	0.07593273277766832	0.035750000000000004	0.0895
Emp/BloomDFE	1000	29	31	0.11048387096774194	0.066	0.10978065129087851	0.0305	0.15750000000000003
Emp/BloomDFE	1000	30	31	0.11341935483870969	0.043	0.13469837271809643	0.035	0.124
Emp/BloomDFE	1000	31	27	0.11496296296296296	0.058	0.12019358791340982	0.038	0.153
Emp/BloomDFE	1000	32	23	0.11	0.05	0.12037290543821047	0.038	0.14200000000000002
Emp/BloomDFE	1000	33	29	0.10262068965517242	0.052	0.11648219170852546	0.036	0.099
Emp/BloomDFE	1000	34	29	0.11313793103448276	0.056	0.11309216347043524	0.035	0.148
Emp/BloomDFE	1000	35	26	0.09261538461538461	0.05	0.10417603445056907	0.03425	0.08975
Emp/BloomDFE	1000	36	36	0.10466666666666667	0.047	0.13599159637902	0.0335	0.08324999999999999
Emp/BloomDFE	1000	37	26	0.12523076923076923	0.055	0.12499065811245501	0.0345	0.21400000000000002
Emp/BloomDFE	1000	38	28	0.14067857142857143	0.0955	0.11468024905714813	0.044000000000000004	0.24825
Emp/BloomDFE	1000	39	41	0.09921951219512196	0.054	0.10101794696862582	0.03	0.128
Emp/BloomDFE	1000	40	20	0.08065	0.04550000000000002	0.08683515841433183	0.031	0.10075
Emp/BloomDFE	1000	41	25	0.17344	0.122	0.14543844058569935	0.063	0.28900000000000003
Emp/BloomDFE	1000	42	37	0.10832432432432433	0.06499999999999995	0.10440068487803617	0.04	0.12
Emp/BloomDFE	1000	43	25	0.10556	0.06	0.08706562658898938	0.03	0.165
Emp/BloomDFE	1000	44	28	0.13071428571428573	0.0595	0.1349062382608496	0.03675	0.17875
Emp/BloomDFE	1000	45	48	0.052375	0.045	0.028776930033060494	0.03	0.057
Emp/BloomDFE	1000	46	40	0.118025	0.052	0.12124048733501021	0.0345	0.1685
Emp/BloomDFE	1000	47	26	0.07407692307692308	0.047	0.07954416286663557	0.03275	0.07024999999999999
Emp/BloomDFE	1000	48	37	0.07197297297297298	0.057	0.05437599883449728	0.038	0.072
Emp/BloomDFE	1000	49	15	0.11353333333333333	0.045	0.1239924344850274	0.0325	0.14600000000000002
Emp/BloomDFE	1000	50	14	0.14642857142857144	0.07400000000000001	0.15096495481540603	0.04525	0.22325
Emp/BloomDFE	1000	51	23	0.12417391304347826	0.066	0.12363423039312851	0.04	0.16949999999999998
Emp/BloomDFE	1000	52	24	0.08658333333333333	0.060500000000000026	0.08982006973687022	0.03525	0.08625
Emp/BloomDFE	1000	53	27	0.1004074074074074	0.069	0.0905475902322425	0.04000000000000002	0.13
Emp/BloomDFE	1000	54	30	0.1154	0.0405	0.14078391365787352	0.03025	0.11575
Emp/BloomDFE	1000	55	45	0.08275555555555555	0.04	0.11189100937876097	0.03	0.062
Emp/BloomDFE	1000	56	29	0.11937931034482757	0.059	0.12939927516718594	0.033	0.166
Emp/BloomDFE	1000	57	23	0.10091304347826087	0.06	0.09282040970873821	0.036000000000000004	0.13749999999999998
Emp/BloomDFE	1000	58	34	0.08305882352941175	0.042499999999999996	0.09431762622519607	0.034	0.06924999999999999
Emp/BloomDFE	1000	59	30	0.10976666666666667	0.0775	0.10429820752033098	0.03175000000000002	0.131
Emp/BloomDFE	1000	60	35	0.092	0.049	0.09924301723843465	0.032	0.099
Emp/BloomDFE	1000	61	32	0.11440625	0.0665	0.10245529611305072	0.0365	0.16675
Emp/BloomDFE	1000	62	36	0.10872222222222222	0.0505	0.11538398282284888	0.03950000000000001	0.14650000000000002
